Name,Overall,Balance,Stamina,Strength,HeadingAccuracy,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Aggression,Jumping,Vision,Composure,StandingTackle,SlidingTackle
L. Messi,94,95.0,72.0,59.0,70.0,90.0,87.0,97.0,96.0,91.0,86.0,91.0,85.0,48.0,68.0,94.0,96.0,28.0,26.0
Cristiano Ronaldo,94,70.0,88.0,79.0,89.0,81.0,77.0,88.0,94.0,89.0,91.0,87.0,95.0,63.0,95.0,82.0,95.0,31.0,23.0
Neymar Jr,92,84.0,81.0,49.0,62.0,84.0,78.0,96.0,95.0,94.0,90.0,96.0,80.0,56.0,61.0,87.0,94.0,24.0,33.0
De Gea,91,43.0,43.0,64.0,21.0,50.0,51.0,18.0,42.0,57.0,58.0,60.0,31.0,38.0,67.0,68.0,68.0,21.0,13.0
K. De Bruyne,91,77.0,90.0,75.0,55.0,92.0,91.0,86.0,91.0,78.0,76.0,79.0,91.0,76.0,63.0,94.0,88.0,58.0,51.0
E. Hazard,91,94.0,83.0,66.0,61.0,89.0,83.0,95.0,94.0,94.0,88.0,95.0,82.0,54.0,56.0,89.0,91.0,27.0,22.0
L. Modrić,91,94.0,89.0,58.0,55.0,93.0,88.0,90.0,93.0,80.0,72.0,93.0,79.0,62.0,68.0,92.0,84.0,76.0,73.0
L. Suárez,91,83.0,90.0,83.0,77.0,82.0,64.0,87.0,90.0,86.0,75.0,82.0,86.0,87.0,69.0,84.0,85.0,45.0,38.0
Sergio Ramos,91,66.0,84.0,83.0,91.0,78.0,77.0,63.0,84.0,76.0,75.0,78.0,79.0,88.0,93.0,63.0,82.0,92.0,91.0
J. Oblak,90,49.0,41.0,78.0,15.0,29.0,26.0,12.0,16.0,43.0,60.0,67.0,22.0,34.0,76.0,70.0,70.0,12.0,18.0
R. Lewandowski,90,78.0,78.0,84.0,85.0,83.0,65.0,85.0,89.0,77.0,78.0,78.0,88.0,80.0,84.0,77.0,86.0,42.0,19.0
T. Kroos,90,71.0,75.0,73.0,54.0,92.0,93.0,81.0,90.0,64.0,62.0,70.0,87.0,60.0,30.0,86.0,85.0,79.0,69.0
D. Godín,90,54.0,66.0,88.0,92.0,79.0,70.0,53.0,76.0,68.0,68.0,58.0,67.0,89.0,91.0,52.0,82.0,89.0,89.0
David Silva,90,90.0,78.0,52.0,54.0,93.0,87.0,89.0,94.0,70.0,64.0,92.0,72.0,57.0,64.0,92.0,93.0,53.0,29.0
N. Kanté,89,92.0,96.0,76.0,54.0,86.0,81.0,79.0,80.0,82.0,78.0,82.0,71.0,90.0,77.0,79.0,85.0,91.0,85.0
P. Dybala,89,85.0,80.0,65.0,68.0,87.0,75.0,92.0,92.0,87.0,83.0,91.0,82.0,48.0,75.0,87.0,84.0,20.0,20.0
H. Kane,89,71.0,89.0,84.0,85.0,80.0,82.0,80.0,84.0,68.0,72.0,71.0,88.0,76.0,78.0,80.0,89.0,36.0,38.0
A. Griezmann,89,80.0,83.0,62.0,84.0,83.0,76.0,88.0,90.0,88.0,85.0,90.0,80.0,69.0,90.0,83.0,87.0,47.0,48.0
M. ter Stegen,89,43.0,35.0,79.0,11.0,36.0,42.0,17.0,18.0,38.0,50.0,37.0,22.0,43.0,79.0,69.0,69.0,13.0,10.0
T. Courtois,89,45.0,38.0,70.0,13.0,33.0,35.0,13.0,23.0,46.0,52.0,61.0,36.0,23.0,68.0,44.0,66.0,18.0,16.0
Sergio Busquets,89,52.0,86.0,77.0,68.0,89.0,82.0,80.0,88.0,50.0,52.0,66.0,61.0,85.0,66.0,87.0,90.0,86.0,80.0
E. Cavani,89,59.0,92.0,78.0,89.0,78.0,52.0,80.0,82.0,75.0,76.0,77.0,87.0,84.0,88.0,77.0,82.0,45.0,39.0
M. Neuer,89,35.0,43.0,80.0,25.0,55.0,59.0,30.0,48.0,54.0,60.0,51.0,25.0,29.0,77.0,70.0,70.0,10.0,11.0
S. Agüero,89,91.0,76.0,73.0,77.0,81.0,64.0,89.0,89.0,88.0,80.0,86.0,88.0,65.0,81.0,83.0,90.0,20.0,12.0
G. Chiellini,89,55.0,65.0,89.0,83.0,59.0,59.0,58.0,57.0,63.0,75.0,54.0,78.0,92.0,89.0,50.0,84.0,93.0,90.0
K. Mbappé,88,83.0,83.0,71.0,77.0,82.0,73.0,90.0,91.0,96.0,96.0,92.0,79.0,62.0,75.0,82.0,86.0,34.0,32.0
M. Salah,88,88.0,84.0,70.0,59.0,82.0,72.0,89.0,88.0,94.0,91.0,91.0,77.0,63.0,68.0,82.0,91.0,43.0,41.0
Casemiro,88,66.0,87.0,89.0,76.0,85.0,82.0,69.0,78.0,59.0,65.0,62.0,86.0,87.0,88.0,77.0,84.0,90.0,87.0
