Overall,Balance,Stamina,Strength,HeadingAccuracy,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Aggression,Jumping,Vision,Composure,StandingTackle,SlidingTackle
94,95.0,72.0,59.0,70.0,90.0,87.0,97.0,96.0,91.0,86.0,91.0,85.0,48.0,68.0,94.0,96.0,28.0,26.0
94,70.0,88.0,79.0,89.0,81.0,77.0,88.0,94.0,89.0,91.0,87.0,95.0,63.0,95.0,82.0,95.0,31.0,23.0
92,84.0,81.0,49.0,62.0,84.0,78.0,96.0,95.0,94.0,90.0,96.0,80.0,56.0,61.0,87.0,94.0,24.0,33.0
91,43.0,43.0,64.0,21.0,50.0,51.0,18.0,42.0,57.0,58.0,60.0,31.0,38.0,67.0,68.0,68.0,21.0,13.0
91,77.0,90.0,75.0,55.0,92.0,91.0,86.0,91.0,78.0,76.0,79.0,91.0,76.0,63.0,94.0,88.0,58.0,51.0
91,94.0,83.0,66.0,61.0,89.0,83.0,95.0,94.0,94.0,88.0,95.0,82.0,54.0,56.0,89.0,91.0,27.0,22.0
91,94.0,89.0,58.0,55.0,93.0,88.0,90.0,93.0,80.0,72.0,93.0,79.0,62.0,68.0,92.0,84.0,76.0,73.0
91,83.0,90.0,83.0,77.0,82.0,64.0,87.0,90.0,86.0,75.0,82.0,86.0,87.0,69.0,84.0,85.0,45.0,38.0
91,66.0,84.0,83.0,91.0,78.0,77.0,63.0,84.0,76.0,75.0,78.0,79.0,88.0,93.0,63.0,82.0,92.0,91.0
90,49.0,41.0,78.0,15.0,29.0,26.0,12.0,16.0,43.0,60.0,67.0,22.0,34.0,76.0,70.0,70.0,12.0,18.0
90,78.0,78.0,84.0,85.0,83.0,65.0,85.0,89.0,77.0,78.0,78.0,88.0,80.0,84.0,77.0,86.0,42.0,19.0
90,71.0,75.0,73.0,54.0,92.0,93.0,81.0,90.0,64.0,62.0,70.0,87.0,60.0,30.0,86.0,85.0,79.0,69.0
90,54.0,66.0,88.0,92.0,79.0,70.0,53.0,76.0,68.0,68.0,58.0,67.0,89.0,91.0,52.0,82.0,89.0,89.0
90,90.0,78.0,52.0,54.0,93.0,87.0,89.0,94.0,70.0,64.0,92.0,72.0,57.0,64.0,92.0,93.0,53.0,29.0
89,92.0,96.0,76.0,54.0,86.0,81.0,79.0,80.0,82.0,78.0,82.0,71.0,90.0,77.0,79.0,85.0,91.0,85.0
89,85.0,80.0,65.0,68.0,87.0,75.0,92.0,92.0,87.0,83.0,91.0,82.0,48.0,75.0,87.0,84.0,20.0,20.0
89,71.0,89.0,84.0,85.0,80.0,82.0,80.0,84.0,68.0,72.0,71.0,88.0,76.0,78.0,80.0,89.0,36.0,38.0
89,80.0,83.0,62.0,84.0,83.0,76.0,88.0,90.0,88.0,85.0,90.0,80.0,69.0,90.0,83.0,87.0,47.0,48.0
89,43.0,35.0,79.0,11.0,36.0,42.0,17.0,18.0,38.0,50.0,37.0,22.0,43.0,79.0,69.0,69.0,13.0,10.0
89,45.0,38.0,70.0,13.0,33.0,35.0,13.0,23.0,46.0,52.0,61.0,36.0,23.0,68.0,44.0,66.0,18.0,16.0
89,52.0,86.0,77.0,68.0,89.0,82.0,80.0,88.0,50.0,52.0,66.0,61.0,85.0,66.0,87.0,90.0,86.0,80.0
89,59.0,92.0,78.0,89.0,78.0,52.0,80.0,82.0,75.0,76.0,77.0,87.0,84.0,88.0,77.0,82.0,45.0,39.0
89,35.0,43.0,80.0,25.0,55.0,59.0,30.0,48.0,54.0,60.0,51.0,25.0,29.0,77.0,70.0,70.0,10.0,11.0
89,91.0,76.0,73.0,77.0,81.0,64.0,89.0,89.0,88.0,80.0,86.0,88.0,65.0,81.0,83.0,90.0,20.0,12.0
89,55.0,65.0,89.0,83.0,59.0,59.0,58.0,57.0,63.0,75.0,54.0,78.0,92.0,89.0,50.0,84.0,93.0,90.0
88,83.0,83.0,71.0,77.0,82.0,73.0,90.0,91.0,96.0,96.0,92.0,79.0,62.0,75.0,82.0,86.0,34.0,32.0
88,88.0,84.0,70.0,59.0,82.0,72.0,89.0,88.0,94.0,91.0,91.0,77.0,63.0,68.0,82.0,91.0,43.0,41.0
88,66.0,87.0,89.0,76.0,85.0,82.0,69.0,78.0,59.0,65.0,62.0,86.0,87.0,88.0,77.0,84.0,90.0,87.0
88,76.0,70.0,68.0,62.0,89.0,83.0,85.0,90.0,73.0,67.0,83.0,86.0,64.0,54.0,89.0,87.0,41.0,44.0
88,93.0,75.0,44.0,56.0,85.0,78.0,90.0,93.0,94.0,86.0,94.0,75.0,34.0,53.0,87.0,83.0,24.0,22.0
88,90.0,70.0,59.0,55.0,89.0,83.0,94.0,95.0,75.0,69.0,87.0,69.0,58.0,64.0,89.0,86.0,64.0,51.0
88,81.0,92.0,58.0,52.0,91.0,88.0,84.0,91.0,75.0,73.0,79.0,84.0,46.0,50.0,91.0,88.0,57.0,22.0
88,93.0,79.0,61.0,48.0,88.0,83.0,91.0,92.0,89.0,75.0,92.0,83.0,59.0,59.0,90.0,85.0,54.0,47.0
88,70.0,76.0,76.0,79.0,77.0,64.0,79.0,82.0,93.0,95.0,76.0,82.0,43.0,79.0,77.0,86.0,25.0,36.0
88,60.0,66.0,84.0,87.0,81.0,85.0,68.0,81.0,53.0,64.0,63.0,71.0,69.0,68.0,79.0,91.0,90.0,88.0
88,86.0,91.0,78.0,75.0,84.0,76.0,90.0,92.0,83.0,82.0,86.0,83.0,84.0,76.0,82.0,86.0,85.0,86.0
88,65.0,75.0,80.0,84.0,85.0,80.0,87.0,85.0,94.0,95.0,82.0,92.0,65.0,87.0,79.0,86.0,55.0,52.0
88,54.0,41.0,43.0,10.0,50.0,50.0,10.0,34.0,65.0,62.0,55.0,23.0,31.0,74.0,30.0,65.0,10.0,18.0
88,69.0,70.0,85.0,80.0,75.0,59.0,84.0,85.0,73.0,73.0,75.0,86.0,50.0,79.0,74.0,86.0,22.0,18.0
88,68.0,74.0,82.0,81.0,80.0,80.0,62.0,80.0,70.0,72.0,68.0,71.0,76.0,90.0,72.0,81.0,89.0,85.0
88,36.0,41.0,71.0,10.0,36.0,34.0,12.0,16.0,51.0,55.0,47.0,22.0,25.0,78.0,41.0,69.0,10.0,13.0
88,49.0,39.0,69.0,13.0,37.0,35.0,26.0,28.0,49.0,43.0,55.0,39.0,38.0,75.0,50.0,70.0,11.0,11.0
87,66.0,78.0,84.0,79.0,81.0,73.0,69.0,77.0,71.0,73.0,68.0,83.0,81.0,89.0,58.0,82.0,89.0,86.0
87,76.0,72.0,76.0,91.0,73.0,54.0,77.0,81.0,77.0,78.0,76.0,84.0,56.0,94.0,64.0,85.0,24.0,20.0
87,40.0,71.0,94.0,81.0,66.0,56.0,66.0,60.0,68.0,75.0,50.0,55.0,87.0,81.0,43.0,78.0,88.0,86.0
87,64.0,88.0,89.0,73.0,86.0,90.0,87.0,90.0,71.0,79.0,74.0,90.0,78.0,83.0,87.0,87.0,70.0,68.0
87,61.0,39.0,75.0,11.0,30.0,37.0,16.0,19.0,54.0,53.0,60.0,21.0,32.0,74.0,68.0,67.0,14.0,14.0
87,46.0,84.0,94.0,86.0,77.0,73.0,80.0,72.0,77.0,90.0,60.0,88.0,75.0,71.0,76.0,83.0,30.0,30.0
87,63.0,80.0,76.0,81.0,74.0,49.0,83.0,83.0,78.0,85.0,77.0,86.0,77.0,77.0,65.0,81.0,33.0,32.0
87,85.0,91.0,61.0,70.0,84.0,74.0,80.0,84.0,93.0,93.0,90.0,64.0,75.0,81.0,70.0,79.0,84.0,85.0
87,92.0,75.0,42.0,35.0,82.0,74.0,91.0,89.0,93.0,85.0,94.0,80.0,59.0,60.0,83.0,81.0,40.0,40.0
87,60.0,75.0,79.0,80.0,79.0,74.0,71.0,76.0,61.0,65.0,61.0,80.0,84.0,85.0,68.0,83.0,87.0,88.0
